time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.680375	0.601438	5.66596	5.07125e-18	-5.44226e-18	radar	117.196	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.14475	0.505139	5.6754	-0.117127	-0.0096081	lidar	0.481637	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.27683	0.531742	5.66101	0.0635923	0.0180438	radar	1.82532	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.59315	0.578483	5.67106	0.105185	0.0296877	lidar	0.428738	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.83682	0.567461	5.55582	0.0486434	-0.0149206	radar	0.80917	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.13598	0.599806	5.56551	0.0647026	0.00648454	lidar	0.329731	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.3535	0.644383	5.35623	0.101731	-0.000190911	radar	3.12066	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.62695	0.669946	5.36598	0.0975341	-0.0111591	lidar	0.0475232	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.89548	0.664038	5.35937	0.0563796	-0.140077	radar	0.215541	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.13099	0.668126	5.32856	0.0456236	-0.155025	lidar	0.84224	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.41913	0.569264	5.3681	-0.0949184	-0.547924	radar	2.22193	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.72415	0.466815	5.42816	-0.211	-0.791401	lidar	3.15349	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.00271	0.540399	5.4366	-0.0958218	-0.368178	radar	3.30226	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.27762	0.532892	5.4369	-0.0944535	-0.320232	lidar	0.188725	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.53866	0.564882	5.39284	-0.0605516	-0.21392	radar	1.40712	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.73122	0.668929	5.2732	0.0364184	0.00741907	lidar	11.2833	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.98547	0.664048	5.23243	0.0221258	-0.0232224	radar	2.16577	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.28848	0.659401	5.28196	0.0112783	-0.0400548	lidar	2.80641	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.54628	0.666988	5.28966	0.014786	-0.0293138	radar	1.52954	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.84124	0.681363	5.32326	0.019803	-0.0178116	lidar	1.75058	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.08739	0.605264	5.2825	-0.0379549	-0.11241	radar	4.07524	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.34581	0.718329	5.26747	0.0370002	0.0135557	lidar	3.6314	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.59838	0.749216	5.24075	0.0502037	0.0317177	radar	0.794373	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.84897	0.746715	5.23023	0.0425661	0.0182583	lidar	0.299932	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.09696	0.728382	5.18444	0.0246885	-0.0102006	radar	3.89305	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.32216	0.813093	5.14774	0.0695602	0.0527585	lidar	3.21755	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.6089	0.825293	5.19765	0.0685684	0.0482186	radar	3.69237	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.86078	0.802603	5.19018	0.0491574	0.0191353	lidar	0.614431	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.11423	0.819597	5.16107	0.0513354	0.0193365	radar	2.85287	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.35452	0.83715	5.1437	0.0550293	0.023025	lidar	0.5859	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.61754	0.926709	5.17662	0.0958467	0.0759604	radar	6.4285	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.8558	0.985856	5.15854	0.117542	0.0992452	lidar	0.895893	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.14068	1.02469	5.19277	0.125356	0.102494	radar	6.53828	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.3789	1.05756	5.1736	0.131208	0.103717	lidar	0.779955	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.6536	1.13047	5.20296	0.154515	0.126601	radar	4.41678	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.92255	1.25895	5.22382	0.203369	0.180867	lidar	3.05723	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.174	1.35183	5.20416	0.233438	0.210158	radar	4.64357	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.4015	1.43322	5.182	0.255418	0.225529	lidar	1.25198	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6385	1.52485	5.14408	0.283291	0.251866	radar	4.43961	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8688	1.55526	5.12003	0.276609	0.227923	lidar	1.60058	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1312	1.6076	5.13644	0.276759	0.212319	radar	1.70522	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.4082	1.65003	5.15989	0.270353	0.189652	lidar	1.76561	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
